timestamp,node,status
2026-06-29T11:59:32+00:00,k3s-w2,Ready
2026-06-29T11:59:33+00:00,k3s-s1,Ready
2026-06-29T11:59:33+00:00,k3s-s2,NotReady
2026-06-29T11:59:33+00:00,k3s-s3,Ready
2026-06-29T11:59:33+00:00,k3s-w1,Ready
2026-06-29T11:59:33+00:00,k3s-w2,Ready
2026-06-29T11:59:34+00:00,k3s-s1,Ready
2026-06-29T11:59:34+00:00,k3s-s2,NotReady
2026-06-29T11:59:34+00:00,k3s-s3,Ready
2026-06-29T11:59:34+00:00,k3s-w1,Ready
2026-06-29T11:59:34+00:00,k3s-w2,Ready
2026-06-29T11:59:35+00:00,k3s-s1,Ready
2026-06-29T11:59:35+00:00,k3s-s2,NotReady
2026-06-29T11:59:35+00:00,k3s-s3,Ready
2026-06-29T11:59:35+00:00,k3s-w1,Ready
2026-06-29T11:59:35+00:00,k3s-w2,Ready
2026-06-29T11:59:36+00:00,k3s-s1,Ready
2026-06-29T11:59:36+00:00,k3s-s2,NotReady
2026-06-29T11:59:36+00:00,k3s-s3,Ready
2026-06-29T11:59:36+00:00,k3s-w1,Ready
2026-06-29T11:59:36+00:00,k3s-w2,Ready
2026-06-29T11:59:37+00:00,k3s-s1,Ready
2026-06-29T11:59:37+00:00,k3s-s2,NotReady
2026-06-29T11:59:37+00:00,k3s-s3,Ready
2026-06-29T11:59:37+00:00,k3s-w1,Ready
2026-06-29T11:59:37+00:00,k3s-w2,Ready
2026-06-29T11:59:38+00:00,k3s-s1,Ready
2026-06-29T11:59:38+00:00,k3s-s2,NotReady
2026-06-29T11:59:38+00:00,k3s-s3,Ready
2026-06-29T11:59:38+00:00,k3s-w1,Ready
2026-06-29T11:59:38+00:00,k3s-w2,Ready
2026-06-29T11:59:39+00:00,k3s-s1,Ready
2026-06-29T11:59:39+00:00,k3s-s2,NotReady
2026-06-29T11:59:39+00:00,k3s-s3,Ready
2026-06-29T11:59:39+00:00,k3s-w1,Ready
2026-06-29T11:59:39+00:00,k3s-w2,Ready
2026-06-29T11:59:40+00:00,k3s-s1,Ready
2026-06-29T11:59:40+00:00,k3s-s2,NotReady
2026-06-29T11:59:40+00:00,k3s-s3,Ready
2026-06-29T11:59:40+00:00,k3s-w1,Ready
2026-06-29T11:59:40+00:00,k3s-w2,Ready
2026-06-29T11:59:41+00:00,k3s-s1,Ready
2026-06-29T11:59:41+00:00,k3s-s2,NotReady
2026-06-29T11:59:41+00:00,k3s-s3,Ready
2026-06-29T11:59:41+00:00,k3s-w1,Ready
2026-06-29T11:59:41+00:00,k3s-w2,Ready
2026-06-29T11:59:42+00:00,k3s-s1,Ready
2026-06-29T11:59:42+00:00,k3s-s2,NotReady
2026-06-29T11:59:42+00:00,k3s-s3,Ready
2026-06-29T11:59:42+00:00,k3s-w1,Ready
2026-06-29T11:59:42+00:00,k3s-w2,Ready
2026-06-29T11:59:43+00:00,k3s-s1,Ready
2026-06-29T11:59:43+00:00,k3s-s2,NotReady
2026-06-29T11:59:43+00:00,k3s-s3,Ready
2026-06-29T11:59:43+00:00,k3s-w1,Ready
2026-06-29T11:59:43+00:00,k3s-w2,Ready
2026-06-29T11:59:44+00:00,k3s-s1,Ready
2026-06-29T11:59:44+00:00,k3s-s2,NotReady
2026-06-29T11:59:44+00:00,k3s-s3,Ready
2026-06-29T11:59:44+00:00,k3s-w1,Ready
2026-06-29T11:59:44+00:00,k3s-w2,Ready
2026-06-29T11:59:45+00:00,k3s-s1,Ready
2026-06-29T11:59:45+00:00,k3s-s2,NotReady
2026-06-29T11:59:45+00:00,k3s-s3,Ready
2026-06-29T11:59:45+00:00,k3s-w1,Ready
2026-06-29T11:59:45+00:00,k3s-w2,Ready
2026-06-29T11:59:46+00:00,k3s-s1,Ready
2026-06-29T11:59:46+00:00,k3s-s2,NotReady
2026-06-29T11:59:46+00:00,k3s-s3,Ready
2026-06-29T11:59:46+00:00,k3s-w1,Ready
2026-06-29T11:59:46+00:00,k3s-w2,Ready
2026-06-29T11:59:47+00:00,k3s-s1,Ready
2026-06-29T11:59:47+00:00,k3s-s2,NotReady
2026-06-29T11:59:47+00:00,k3s-s3,Ready
2026-06-29T11:59:47+00:00,k3s-w1,Ready
2026-06-29T11:59:47+00:00,k3s-w2,Ready
2026-06-29T11:59:48+00:00,k3s-s1,Ready
2026-06-29T11:59:48+00:00,k3s-s2,NotReady
2026-06-29T11:59:48+00:00,k3s-s3,Ready
2026-06-29T11:59:48+00:00,k3s-w1,Ready
2026-06-29T11:59:48+00:00,k3s-w2,Ready
2026-06-29T11:59:49+00:00,k3s-s1,Ready
2026-06-29T11:59:49+00:00,k3s-s2,NotReady
2026-06-29T11:59:49+00:00,k3s-s3,Ready
2026-06-29T11:59:49+00:00,k3s-w1,Ready
2026-06-29T11:59:49+00:00,k3s-w2,Ready
2026-06-29T11:59:51+00:00,k3s-s1,Ready
2026-06-29T11:59:51+00:00,k3s-s2,NotReady
2026-06-29T11:59:51+00:00,k3s-s3,Ready
2026-06-29T11:59:51+00:00,k3s-w1,Ready
2026-06-29T11:59:51+00:00,k3s-w2,Ready
2026-06-29T11:59:52+00:00,k3s-s1,Ready
2026-06-29T11:59:52+00:00,k3s-s2,NotReady
2026-06-29T11:59:52+00:00,k3s-s3,Ready
2026-06-29T11:59:52+00:00,k3s-w1,Ready
2026-06-29T11:59:52+00:00,k3s-w2,Ready
2026-06-29T11:59:53+00:00,k3s-s1,Ready
2026-06-29T11:59:53+00:00,k3s-s2,NotReady
2026-06-29T11:59:53+00:00,k3s-s3,Ready
2026-06-29T11:59:53+00:00,k3s-w1,Ready
2026-06-29T11:59:53+00:00,k3s-w2,Ready
2026-06-29T11:59:54+00:00,k3s-s1,Ready
2026-06-29T11:59:54+00:00,k3s-s2,NotReady
2026-06-29T11:59:54+00:00,k3s-s3,Ready
2026-06-29T11:59:54+00:00,k3s-w1,Ready
2026-06-29T11:59:54+00:00,k3s-w2,Ready
2026-06-29T11:59:55+00:00,k3s-s1,Ready
2026-06-29T11:59:55+00:00,k3s-s2,NotReady
2026-06-29T11:59:55+00:00,k3s-s3,Ready
2026-06-29T11:59:55+00:00,k3s-w1,Ready
2026-06-29T11:59:55+00:00,k3s-w2,Ready
2026-06-29T11:59:56+00:00,k3s-s1,Ready
2026-06-29T11:59:56+00:00,k3s-s2,NotReady
2026-06-29T11:59:56+00:00,k3s-s3,Ready
2026-06-29T11:59:56+00:00,k3s-w1,Ready
2026-06-29T11:59:56+00:00,k3s-w2,Ready
2026-06-29T11:59:57+00:00,k3s-s1,Ready
2026-06-29T11:59:57+00:00,k3s-s2,NotReady
2026-06-29T11:59:57+00:00,k3s-s3,Ready
2026-06-29T11:59:57+00:00,k3s-w1,Ready
2026-06-29T11:59:57+00:00,k3s-w2,Ready
2026-06-29T11:59:58+00:00,k3s-s1,Ready
2026-06-29T11:59:58+00:00,k3s-s2,NotReady
2026-06-29T11:59:58+00:00,k3s-s3,Ready
2026-06-29T11:59:58+00:00,k3s-w1,Ready
2026-06-29T11:59:58+00:00,k3s-w2,Ready
2026-06-29T11:59:59+00:00,k3s-s1,Ready
2026-06-29T11:59:59+00:00,k3s-s2,NotReady
2026-06-29T11:59:59+00:00,k3s-s3,Ready
2026-06-29T11:59:59+00:00,k3s-w1,Ready
2026-06-29T11:59:59+00:00,k3s-w2,Ready
2026-06-29T12:00:00+00:00,k3s-s1,Ready
2026-06-29T12:00:00+00:00,k3s-s2,NotReady
2026-06-29T12:00:00+00:00,k3s-s3,Ready
2026-06-29T12:00:00+00:00,k3s-w1,Ready
2026-06-29T12:00:00+00:00,k3s-w2,Ready
2026-06-29T12:00:01+00:00,k3s-s1,Ready
2026-06-29T12:00:01+00:00,k3s-s2,NotReady
2026-06-29T12:00:01+00:00,k3s-s3,Ready
2026-06-29T12:00:01+00:00,k3s-w1,Ready
2026-06-29T12:00:01+00:00,k3s-w2,Ready
2026-06-29T12:00:02+00:00,k3s-s1,Ready
2026-06-29T12:00:02+00:00,k3s-s2,NotReady
2026-06-29T12:00:02+00:00,k3s-s3,Ready
2026-06-29T12:00:02+00:00,k3s-w1,Ready
2026-06-29T12:00:02+00:00,k3s-w2,Ready
2026-06-29T12:00:03+00:00,k3s-s1,Ready
2026-06-29T12:00:03+00:00,k3s-s2,NotReady
2026-06-29T12:00:03+00:00,k3s-s3,Ready
2026-06-29T12:00:03+00:00,k3s-w1,Ready
2026-06-29T12:00:03+00:00,k3s-w2,Ready
2026-06-29T12:00:04+00:00,k3s-s1,Ready
2026-06-29T12:00:04+00:00,k3s-s2,NotReady
2026-06-29T12:00:04+00:00,k3s-s3,Ready
2026-06-29T12:00:04+00:00,k3s-w1,Ready
2026-06-29T12:00:04+00:00,k3s-w2,Ready
2026-06-29T12:00:05+00:00,k3s-s1,Ready
2026-06-29T12:00:05+00:00,k3s-s2,NotReady
2026-06-29T12:00:05+00:00,k3s-s3,Ready
2026-06-29T12:00:05+00:00,k3s-w1,Ready
2026-06-29T12:00:05+00:00,k3s-w2,Ready
2026-06-29T12:00:06+00:00,k3s-s1,Ready
2026-06-29T12:00:06+00:00,k3s-s2,NotReady
2026-06-29T12:00:06+00:00,k3s-s3,Ready
2026-06-29T12:00:06+00:00,k3s-w1,Ready
2026-06-29T12:00:06+00:00,k3s-w2,Ready
2026-06-29T12:00:07+00:00,k3s-s1,Ready
2026-06-29T12:00:07+00:00,k3s-s2,NotReady
2026-06-29T12:00:07+00:00,k3s-s3,Ready
2026-06-29T12:00:07+00:00,k3s-w1,Ready
2026-06-29T12:00:07+00:00,k3s-w2,Ready
2026-06-29T12:00:08+00:00,k3s-s1,Ready
2026-06-29T12:00:08+00:00,k3s-s2,NotReady
2026-06-29T12:00:08+00:00,k3s-s3,Ready
2026-06-29T12:00:08+00:00,k3s-w1,Ready
2026-06-29T12:00:08+00:00,k3s-w2,Ready
2026-06-29T12:00:09+00:00,k3s-s1,Ready
2026-06-29T12:00:09+00:00,k3s-s2,NotReady
2026-06-29T12:00:09+00:00,k3s-s3,Ready
2026-06-29T12:00:09+00:00,k3s-w1,Ready
2026-06-29T12:00:09+00:00,k3s-w2,Ready
2026-06-29T12:00:10+00:00,k3s-s1,Ready
2026-06-29T12:00:10+00:00,k3s-s2,NotReady
2026-06-29T12:00:10+00:00,k3s-s3,Ready
2026-06-29T12:00:10+00:00,k3s-w1,Ready
2026-06-29T12:00:10+00:00,k3s-w2,Ready
2026-06-29T12:00:12+00:00,k3s-s1,Ready
2026-06-29T12:00:12+00:00,k3s-s2,NotReady
2026-06-29T12:00:12+00:00,k3s-s3,Ready
2026-06-29T12:00:12+00:00,k3s-w1,Ready
2026-06-29T12:00:12+00:00,k3s-w2,Ready
2026-06-29T12:00:13+00:00,k3s-s1,Ready
2026-06-29T12:00:13+00:00,k3s-s2,NotReady
2026-06-29T12:00:13+00:00,k3s-s3,Ready
2026-06-29T12:00:13+00:00,k3s-w1,Ready
2026-06-29T12:00:13+00:00,k3s-w2,Ready
2026-06-29T12:00:14+00:00,k3s-s1,Ready
2026-06-29T12:00:14+00:00,k3s-s2,NotReady
2026-06-29T12:00:14+00:00,k3s-s3,Ready
2026-06-29T12:00:14+00:00,k3s-w1,Ready
2026-06-29T12:00:14+00:00,k3s-w2,Ready
2026-06-29T12:00:15+00:00,k3s-s1,Ready
2026-06-29T12:00:15+00:00,k3s-s2,NotReady
2026-06-29T12:00:15+00:00,k3s-s3,Ready
2026-06-29T12:00:15+00:00,k3s-w1,Ready
2026-06-29T12:00:15+00:00,k3s-w2,Ready
2026-06-29T12:00:16+00:00,k3s-s1,Ready
2026-06-29T12:00:16+00:00,k3s-s2,NotReady
2026-06-29T12:00:16+00:00,k3s-s3,Ready
2026-06-29T12:00:16+00:00,k3s-w1,Ready
2026-06-29T12:00:16+00:00,k3s-w2,Ready
2026-06-29T12:00:17+00:00,k3s-s1,Ready
2026-06-29T12:00:17+00:00,k3s-s2,NotReady
2026-06-29T12:00:17+00:00,k3s-s3,Ready
2026-06-29T12:00:17+00:00,k3s-w1,Ready
2026-06-29T12:00:17+00:00,k3s-w2,Ready
2026-06-29T12:00:18+00:00,k3s-s1,Ready
2026-06-29T12:00:18+00:00,k3s-s2,NotReady
2026-06-29T12:00:18+00:00,k3s-s3,Ready
2026-06-29T12:00:18+00:00,k3s-w1,Ready
2026-06-29T12:00:18+00:00,k3s-w2,Ready
2026-06-29T12:00:19+00:00,k3s-s1,Ready
2026-06-29T12:00:19+00:00,k3s-s2,NotReady
2026-06-29T12:00:19+00:00,k3s-s3,Ready
2026-06-29T12:00:19+00:00,k3s-w1,Ready
2026-06-29T12:00:19+00:00,k3s-w2,Ready
2026-06-29T12:00:20+00:00,k3s-s1,Ready
2026-06-29T12:00:20+00:00,k3s-s2,NotReady
2026-06-29T12:00:20+00:00,k3s-s3,Ready
2026-06-29T12:00:20+00:00,k3s-w1,Ready
2026-06-29T12:00:20+00:00,k3s-w2,Ready
2026-06-29T12:00:21+00:00,k3s-s1,Ready
2026-06-29T12:00:21+00:00,k3s-s2,NotReady
2026-06-29T12:00:21+00:00,k3s-s3,Ready
2026-06-29T12:00:21+00:00,k3s-w1,Ready
2026-06-29T12:00:21+00:00,k3s-w2,Ready
2026-06-29T12:00:22+00:00,k3s-s1,Ready
2026-06-29T12:00:22+00:00,k3s-s2,NotReady
2026-06-29T12:00:22+00:00,k3s-s3,Ready
2026-06-29T12:00:22+00:00,k3s-w1,Ready
2026-06-29T12:00:22+00:00,k3s-w2,Ready
2026-06-29T12:00:23+00:00,k3s-s1,Ready
2026-06-29T12:00:23+00:00,k3s-s2,NotReady
2026-06-29T12:00:23+00:00,k3s-s3,Ready
2026-06-29T12:00:23+00:00,k3s-w1,Ready
2026-06-29T12:00:23+00:00,k3s-w2,Ready
2026-06-29T12:00:24+00:00,k3s-s1,Ready
2026-06-29T12:00:24+00:00,k3s-s2,NotReady
2026-06-29T12:00:24+00:00,k3s-s3,Ready
2026-06-29T12:00:24+00:00,k3s-w1,Ready
2026-06-29T12:00:24+00:00,k3s-w2,Ready
2026-06-29T12:00:25+00:00,k3s-s1,Ready
2026-06-29T12:00:25+00:00,k3s-s2,NotReady
2026-06-29T12:00:25+00:00,k3s-s3,Ready
2026-06-29T12:00:25+00:00,k3s-w1,Ready
2026-06-29T12:00:25+00:00,k3s-w2,Ready
2026-06-29T12:00:26+00:00,k3s-s1,Ready
2026-06-29T12:00:26+00:00,k3s-s2,NotReady
2026-06-29T12:00:26+00:00,k3s-s3,Ready
2026-06-29T12:00:26+00:00,k3s-w1,Ready
2026-06-29T12:00:26+00:00,k3s-w2,Ready
2026-06-29T12:00:27+00:00,k3s-s1,Ready
2026-06-29T12:00:27+00:00,k3s-s2,NotReady
2026-06-29T12:00:27+00:00,k3s-s3,Ready
2026-06-29T12:00:27+00:00,k3s-w1,Ready
2026-06-29T12:00:27+00:00,k3s-w2,Ready
2026-06-29T12:00:28+00:00,k3s-s1,Ready
2026-06-29T12:00:28+00:00,k3s-s2,NotReady
2026-06-29T12:00:28+00:00,k3s-s3,Ready
2026-06-29T12:00:28+00:00,k3s-w1,Ready
2026-06-29T12:00:28+00:00,k3s-w2,Ready
2026-06-29T12:00:29+00:00,k3s-s1,Ready
2026-06-29T12:00:29+00:00,k3s-s2,NotReady
2026-06-29T12:00:29+00:00,k3s-s3,Ready
2026-06-29T12:00:29+00:00,k3s-w1,Ready
2026-06-29T12:00:29+00:00,k3s-w2,Ready
2026-06-29T12:00:30+00:00,k3s-s1,Ready
2026-06-29T12:00:30+00:00,k3s-s2,NotReady
2026-06-29T12:00:30+00:00,k3s-s3,Ready
2026-06-29T12:00:30+00:00,k3s-w1,Ready
2026-06-29T12:00:30+00:00,k3s-w2,Ready
2026-06-29T12:00:32+00:00,k3s-s1,Ready
2026-06-29T12:00:32+00:00,k3s-s2,NotReady
2026-06-29T12:00:32+00:00,k3s-s3,Ready
2026-06-29T12:00:32+00:00,k3s-w1,Ready
2026-06-29T12:00:32+00:00,k3s-w2,Ready
2026-06-29T12:00:33+00:00,k3s-s1,Ready
2026-06-29T12:00:33+00:00,k3s-s2,NotReady
2026-06-29T12:00:33+00:00,k3s-s3,Ready
2026-06-29T12:00:33+00:00,k3s-w1,Ready
2026-06-29T12:00:33+00:00,k3s-w2,Ready
2026-06-29T12:00:34+00:00,k3s-s1,Ready
2026-06-29T12:00:34+00:00,k3s-s2,NotReady
2026-06-29T12:00:34+00:00,k3s-s3,Ready
2026-06-29T12:00:34+00:00,k3s-w1,Ready
2026-06-29T12:00:34+00:00,k3s-w2,Ready
2026-06-29T12:00:35+00:00,k3s-s1,Ready
2026-06-29T12:00:35+00:00,k3s-s2,NotReady
2026-06-29T12:00:35+00:00,k3s-s3,Ready
2026-06-29T12:00:35+00:00,k3s-w1,Ready
2026-06-29T12:00:35+00:00,k3s-w2,Ready
2026-06-29T12:00:36+00:00,k3s-s1,Ready
2026-06-29T12:00:36+00:00,k3s-s2,NotReady
2026-06-29T12:00:36+00:00,k3s-s3,Ready
2026-06-29T12:00:36+00:00,k3s-w1,Ready
2026-06-29T12:00:36+00:00,k3s-w2,Ready
2026-06-29T12:00:37+00:00,k3s-s1,Ready
2026-06-29T12:00:37+00:00,k3s-s2,NotReady
2026-06-29T12:00:37+00:00,k3s-s3,Ready
2026-06-29T12:00:37+00:00,k3s-w1,Ready
2026-06-29T12:00:37+00:00,k3s-w2,Ready
2026-06-29T12:00:38+00:00,k3s-s1,Ready
2026-06-29T12:00:38+00:00,k3s-s2,NotReady
2026-06-29T12:00:38+00:00,k3s-s3,Ready
2026-06-29T12:00:38+00:00,k3s-w1,Ready
2026-06-29T12:00:38+00:00,k3s-w2,Ready
2026-06-29T12:00:39+00:00,k3s-s1,Ready
2026-06-29T12:00:39+00:00,k3s-s2,NotReady
2026-06-29T12:00:39+00:00,k3s-s3,Ready
2026-06-29T12:00:39+00:00,k3s-w1,Ready
2026-06-29T12:00:39+00:00,k3s-w2,Ready
2026-06-29T12:00:40+00:00,k3s-s1,Ready
2026-06-29T12:00:40+00:00,k3s-s2,NotReady
2026-06-29T12:00:40+00:00,k3s-s3,Ready
2026-06-29T12:00:40+00:00,k3s-w1,Ready
2026-06-29T12:00:40+00:00,k3s-w2,Ready
2026-06-29T12:00:41+00:00,k3s-s1,Ready
2026-06-29T12:00:41+00:00,k3s-s2,NotReady
2026-06-29T12:00:41+00:00,k3s-s3,Ready
2026-06-29T12:00:41+00:00,k3s-w1,Ready
2026-06-29T12:00:41+00:00,k3s-w2,Ready
2026-06-29T12:00:42+00:00,k3s-s1,Ready
2026-06-29T12:00:42+00:00,k3s-s2,NotReady
2026-06-29T12:00:42+00:00,k3s-s3,Ready
2026-06-29T12:00:42+00:00,k3s-w1,Ready
2026-06-29T12:00:42+00:00,k3s-w2,Ready
2026-06-29T12:00:43+00:00,k3s-s1,Ready
2026-06-29T12:00:43+00:00,k3s-s2,NotReady
2026-06-29T12:00:43+00:00,k3s-s3,Ready
2026-06-29T12:00:43+00:00,k3s-w1,Ready
2026-06-29T12:00:43+00:00,k3s-w2,Ready
2026-06-29T12:00:44+00:00,k3s-s1,Ready
2026-06-29T12:00:44+00:00,k3s-s2,NotReady
2026-06-29T12:00:44+00:00,k3s-s3,Ready
2026-06-29T12:00:44+00:00,k3s-w1,Ready
2026-06-29T12:00:44+00:00,k3s-w2,Ready
2026-06-29T12:00:45+00:00,k3s-s1,Ready
2026-06-29T12:00:45+00:00,k3s-s2,NotReady
2026-06-29T12:00:45+00:00,k3s-s3,Ready
2026-06-29T12:00:45+00:00,k3s-w1,Ready
2026-06-29T12:00:45+00:00,k3s-w2,Ready
2026-06-29T12:00:46+00:00,k3s-s1,Ready
2026-06-29T12:00:46+00:00,k3s-s2,NotReady
2026-06-29T12:00:46+00:00,k3s-s3,Ready
2026-06-29T12:00:46+00:00,k3s-w1,Ready
2026-06-29T12:00:46+00:00,k3s-w2,Ready
2026-06-29T12:00:47+00:00,k3s-s1,Ready
2026-06-29T12:00:47+00:00,k3s-s2,NotReady
2026-06-29T12:00:47+00:00,k3s-s3,Ready
2026-06-29T12:00:47+00:00,k3s-w1,Ready
2026-06-29T12:00:47+00:00,k3s-w2,Ready
2026-06-29T12:00:48+00:00,k3s-s1,Ready
2026-06-29T12:00:48+00:00,k3s-s2,NotReady
2026-06-29T12:00:48+00:00,k3s-s3,Ready
2026-06-29T12:00:48+00:00,k3s-w1,Ready
2026-06-29T12:00:48+00:00,k3s-w2,Ready
2026-06-29T12:00:49+00:00,k3s-s1,Ready
2026-06-29T12:00:49+00:00,k3s-s2,NotReady
2026-06-29T12:00:49+00:00,k3s-s3,Ready
2026-06-29T12:00:49+00:00,k3s-w1,Ready
2026-06-29T12:00:49+00:00,k3s-w2,Ready
2026-06-29T12:00:50+00:00,k3s-s1,Ready
2026-06-29T12:00:50+00:00,k3s-s2,NotReady
2026-06-29T12:00:50+00:00,k3s-s3,Ready
2026-06-29T12:00:50+00:00,k3s-w1,Ready
2026-06-29T12:00:50+00:00,k3s-w2,Ready
2026-06-29T12:00:52+00:00,k3s-s1,Ready
2026-06-29T12:00:52+00:00,k3s-s2,NotReady
2026-06-29T12:00:52+00:00,k3s-s3,Ready
2026-06-29T12:00:52+00:00,k3s-w1,Ready
2026-06-29T12:00:52+00:00,k3s-w2,Ready
2026-06-29T12:00:53+00:00,k3s-s1,Ready
2026-06-29T12:00:53+00:00,k3s-s2,NotReady
2026-06-29T12:00:53+00:00,k3s-s3,Ready
2026-06-29T12:00:53+00:00,k3s-w1,Ready
2026-06-29T12:00:53+00:00,k3s-w2,Ready
2026-06-29T12:00:54+00:00,k3s-s1,Ready
2026-06-29T12:00:54+00:00,k3s-s2,NotReady
2026-06-29T12:00:54+00:00,k3s-s3,Ready
2026-06-29T12:00:54+00:00,k3s-w1,Ready
2026-06-29T12:00:54+00:00,k3s-w2,Ready
2026-06-29T12:00:55+00:00,k3s-s1,Ready
2026-06-29T12:00:55+00:00,k3s-s2,NotReady
2026-06-29T12:00:55+00:00,k3s-s3,Ready
2026-06-29T12:00:55+00:00,k3s-w1,Ready
2026-06-29T12:00:55+00:00,k3s-w2,Ready
2026-06-29T12:00:56+00:00,k3s-s1,Ready
2026-06-29T12:00:56+00:00,k3s-s2,NotReady
2026-06-29T12:00:56+00:00,k3s-s3,Ready
2026-06-29T12:00:56+00:00,k3s-w1,Ready
2026-06-29T12:00:56+00:00,k3s-w2,Ready
2026-06-29T12:00:57+00:00,k3s-s1,Ready
2026-06-29T12:00:57+00:00,k3s-s2,NotReady
2026-06-29T12:00:57+00:00,k3s-s3,Ready
2026-06-29T12:00:57+00:00,k3s-w1,Ready
2026-06-29T12:00:57+00:00,k3s-w2,Ready
2026-06-29T12:00:58+00:00,k3s-s1,Ready
2026-06-29T12:00:58+00:00,k3s-s2,NotReady
2026-06-29T12:00:58+00:00,k3s-s3,Ready
2026-06-29T12:00:58+00:00,k3s-w1,Ready
2026-06-29T12:00:58+00:00,k3s-w2,Ready
2026-06-29T12:00:59+00:00,k3s-s1,Ready
2026-06-29T12:00:59+00:00,k3s-s2,NotReady
2026-06-29T12:00:59+00:00,k3s-s3,Ready
2026-06-29T12:00:59+00:00,k3s-w1,Ready
2026-06-29T12:00:59+00:00,k3s-w2,Ready
2026-06-29T12:01:00+00:00,k3s-s1,Ready
2026-06-29T12:01:00+00:00,k3s-s2,NotReady
2026-06-29T12:01:00+00:00,k3s-s3,Ready
2026-06-29T12:01:00+00:00,k3s-w1,Ready
2026-06-29T12:01:00+00:00,k3s-w2,Ready
2026-06-29T12:01:01+00:00,k3s-s1,Ready
2026-06-29T12:01:01+00:00,k3s-s2,NotReady
2026-06-29T12:01:01+00:00,k3s-s3,Ready
2026-06-29T12:01:01+00:00,k3s-w1,Ready
2026-06-29T12:01:01+00:00,k3s-w2,Ready
2026-06-29T12:01:02+00:00,k3s-s1,Ready
2026-06-29T12:01:02+00:00,k3s-s2,NotReady
2026-06-29T12:01:02+00:00,k3s-s3,Ready
2026-06-29T12:01:02+00:00,k3s-w1,Ready
2026-06-29T12:01:02+00:00,k3s-w2,Ready
2026-06-29T12:01:03+00:00,k3s-s1,Ready
2026-06-29T12:01:03+00:00,k3s-s2,NotReady
2026-06-29T12:01:03+00:00,k3s-s3,Ready
2026-06-29T12:01:03+00:00,k3s-w1,Ready
2026-06-29T12:01:03+00:00,k3s-w2,Ready
2026-06-29T12:01:04+00:00,k3s-s1,Ready
2026-06-29T12:01:04+00:00,k3s-s2,NotReady
2026-06-29T12:01:04+00:00,k3s-s3,Ready
2026-06-29T12:01:04+00:00,k3s-w1,Ready
2026-06-29T12:01:04+00:00,k3s-w2,Ready
2026-06-29T12:01:05+00:00,k3s-s1,Ready
2026-06-29T12:01:05+00:00,k3s-s2,NotReady
2026-06-29T12:01:05+00:00,k3s-s3,Ready
2026-06-29T12:01:05+00:00,k3s-w1,Ready
2026-06-29T12:01:05+00:00,k3s-w2,Ready
2026-06-29T12:01:06+00:00,k3s-s1,Ready
2026-06-29T12:01:06+00:00,k3s-s2,NotReady
2026-06-29T12:01:06+00:00,k3s-s3,Ready
2026-06-29T12:01:06+00:00,k3s-w1,Ready
2026-06-29T12:01:06+00:00,k3s-w2,Ready
2026-06-29T12:01:07+00:00,k3s-s1,Ready
2026-06-29T12:01:07+00:00,k3s-s2,NotReady
2026-06-29T12:01:07+00:00,k3s-s3,Ready
2026-06-29T12:01:07+00:00,k3s-w1,Ready
2026-06-29T12:01:07+00:00,k3s-w2,Ready
2026-06-29T12:01:08+00:00,k3s-s1,Ready
2026-06-29T12:01:08+00:00,k3s-s2,NotReady
2026-06-29T12:01:08+00:00,k3s-s3,Ready
2026-06-29T12:01:08+00:00,k3s-w1,Ready
2026-06-29T12:01:08+00:00,k3s-w2,Ready
2026-06-29T12:01:09+00:00,k3s-s1,Ready
2026-06-29T12:01:09+00:00,k3s-s2,NotReady
2026-06-29T12:01:09+00:00,k3s-s3,Ready
2026-06-29T12:01:09+00:00,k3s-w1,Ready
2026-06-29T12:01:09+00:00,k3s-w2,Ready
2026-06-29T12:01:10+00:00,k3s-s1,Ready
2026-06-29T12:01:10+00:00,k3s-s2,NotReady
2026-06-29T12:01:10+00:00,k3s-s3,Ready
2026-06-29T12:01:10+00:00,k3s-w1,Ready
2026-06-29T12:01:10+00:00,k3s-w2,Ready
2026-06-29T12:01:12+00:00,k3s-s1,Ready
2026-06-29T12:01:12+00:00,k3s-s2,NotReady
2026-06-29T12:01:12+00:00,k3s-s3,Ready
2026-06-29T12:01:12+00:00,k3s-w1,Ready
2026-06-29T12:01:12+00:00,k3s-w2,Ready
2026-06-29T12:01:13+00:00,k3s-s1,Ready
2026-06-29T12:01:13+00:00,k3s-s2,NotReady
2026-06-29T12:01:13+00:00,k3s-s3,Ready
2026-06-29T12:01:13+00:00,k3s-w1,Ready
2026-06-29T12:01:13+00:00,k3s-w2,Ready
2026-06-29T12:01:14+00:00,k3s-s1,Ready
2026-06-29T12:01:14+00:00,k3s-s2,NotReady
2026-06-29T12:01:14+00:00,k3s-s3,Ready
2026-06-29T12:01:14+00:00,k3s-w1,Ready
2026-06-29T12:01:14+00:00,k3s-w2,Ready
2026-06-29T12:01:15+00:00,k3s-s1,Ready
2026-06-29T12:01:15+00:00,k3s-s2,NotReady
2026-06-29T12:01:15+00:00,k3s-s3,Ready
2026-06-29T12:01:15+00:00,k3s-w1,Ready
2026-06-29T12:01:15+00:00,k3s-w2,Ready
2026-06-29T12:01:16+00:00,k3s-s1,Ready
2026-06-29T12:01:16+00:00,k3s-s2,NotReady
2026-06-29T12:01:16+00:00,k3s-s3,Ready
2026-06-29T12:01:16+00:00,k3s-w1,Ready
2026-06-29T12:01:16+00:00,k3s-w2,Ready
